id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
7482411,2017-08-13,47.3482376151,-120.537843397,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7487743,2017-08-13,47.3474902008,-120.5380017312,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7487777,2017-08-13,47.3463917105,-120.5374778622,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7487787,2017-08-13,47.3461607052,-120.5374864117,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7487797,2017-08-13,47.3458589567,-120.5373729208,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7487803,2017-08-13,47.345807408,-120.537455734,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7487814,2017-08-13,47.3461656925,-120.5375439116,Chelan,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7487837,2017-08-13,47.3469712772,-120.5378724822,Chelan,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7487840,2017-08-13,47.3470756738,-120.5378967059,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7487842,2017-08-13,47.347638812,-120.5377460831,Chelan,Washington,United States,Speyeria hydaspe,Hydaspe Fritillary,Nymphalidae,Speyeria,Speyeria hydaspe,
7487878,2017-08-13,45.3464601003,-110.5099412241,Park,Montana,United States,Colias pelidne,Pelidne Sulphur,Pieridae,Colias,Colias pelidne,
7487922,2017-08-13,45.3464081325,-110.5099861511,Park,Montana,United States,Plebejus idas,Northern Blue,Lycaenidae,Plebejus,Plebejus idas,
7488007,2017-08-13,45.3463675222,-110.510694841,Park,Montana,United States,Speyeria hydaspe,Hydaspe Fritillary,Nymphalidae,Speyeria,Speyeria hydaspe,
7488034,2017-08-13,45.3463325696,-110.5106237625,Park,Montana,United States,Colias alexandra,Queen Alexandra’s Sulphur,Pieridae,Colias,Colias alexandra,
7488068,2017-08-13,45.347858537,-110.5081899931,Park,Montana,United States,Pontia protodice,Checkered White,Pieridae,Pontia,Pontia protodice,
