scientific_name,latitude,longitude,observed_on,provider
Colias eurytheme,35.8319532266,-106.3569342625,2016-05-20,iNat
Colias eurytheme,35.8325040853,-106.3559766301,2016-05-20,iNat
Celastrina echo,37.71169858,-122.38091544,2016-05-21,iNat
Vanessa cardui,37.981678,-122.133443,2016-05-20,iNat
Colias eurytheme,35.8864959888,-106.3077324909,2016-05-21,iNat
Aglais milberti,35.768294,-106.313256,2016-05-21,iNat
Colias eurytheme,34.0965388889,-118.7436916667,2016-05-21,iNat
Celastrina echo,35.999993,-121.495121,2016-05-14,iNat
Vanessa cardui,35.58798,-118.440599,2016-05-01,iNat
Polygonia gracilis,38.471245,-123.019365,2016-05-22,iNat
Libytheana carinenta,34.750285,-112.024622,2015-10-08,iNat
Celastrina echo,36.472401,-121.187555,2016-05-21,iNat
Celastrina echo,39.1476523597,-109.719165573,2016-05-23,iNat
Celastrina echo,37.6170283333,-122.01888,2016-05-23,iNat
Celastrina echo,37.6239566667,-122.0278933333,2016-05-23,iNat
Colias eurytheme,38.6130193294,-121.2952389918,2016-05-23,iNat
Colias eurytheme,37.790719,-122.474558,2016-05-24,iNat
Celastrina echo,36.462117,-121.155016,2016-05-21,iNat
Vanessa cardui,38.361917,-122.603193,2016-05-23,iNat
Colias eurytheme,38.7614816667,-121.1461666667,2016-05-26,iNat
Vanessa cardui,37.98485,-122.1289166667,2016-05-20,iNat
Colias eurytheme,37.871059,-121.923394,2016-05-27,iNat
Celastrina echo,38.5207590522,-120.3714661162,2016-05-29,iNat
Colias eurytheme,38.7658666667,-121.33984,2016-05-30,iNat
Polygonia gracilis,40.80452,-106.957719,2016-05-29,iNat
Celastrina echo,37.5532826,-122.0854353,2016-05-22,iNat
Celastrina echo,37.943209,-122.140541,2016-05-28,iNat
Boloria epithore,45.989562,-123.496954,2016-05-31,iNat
Celastrina echo,37.6942783333,-122.4017416667,2016-06-01,iNat
Colias eurytheme,34.047373,-116.566843,2016-06-01,iNat
Aglais milberti,42.41688,-103.7562116667,2016-06-02,iNat
Vanessa cardui,37.7649283333,-122.4391466667,2016-06-03,iNat
Celastrina echo,38.5161094666,-122.8586120605,2016-06-04,iNat
Eurema mexicana,29.181065,-102.9553816667,2016-05-29,iNat
Celastrina echo,38.556017,-122.638796,2016-05-28,iNat
Colias eurytheme,38.0296166667,-122.5586083333,2016-06-04,iNat
Celastrina echo,37.767456,-122.441015,2016-06-04,iNat
Vanessa cardui,37.749265,-122.44767,2016-06-04,iNat
Celastrina echo,37.3612816667,-122.183365,2016-06-04,iNat
Celastrina echo,37.363274,-122.177276,2016-06-04,iNat
Celastrina echo,46.053274,-123.908169,2016-06-05,iNat
Celastrina echo,36.508557,-121.938784,2016-06-03,iNat
Vanessa cardui,31.967391,-102.119761,2014-12-21,iNat
Colias eurytheme,37.9236784112,-109.3931279798,2016-06-06,iNat
Celastrina echo,34.1139848337,-118.6297959472,2016-06-06,iNat
Erebia epipsodea,37.8951781383,-109.4668495842,2016-06-06,iNat
Vanessa cardui,36.518048,-121.185419,2016-05-29,iNat
Celastrina echo,37.7670233333,-122.4708983333,2016-06-03,iNat
Celastrina echo,37.7670016667,-122.4709033333,2016-06-03,iNat
Boloria epithore,46.096442,-123.447258,2016-06-07,iNat
Aglais milberti,39.27232,-119.936768,2016-06-04,iNat
Celastrina echo,45.962897,-123.683867,2016-06-06,iNat
Celastrina echo,36.357357,-120.822058,2016-05-22,iNat
Colias eurytheme,36.346462,-120.80914,2016-05-22,iNat
Vanessa cardui,47.67954,-122.253703,2016-06-03,iNat
Vanessa cardui,36.340703,-120.808904,2016-05-22,iNat
Celastrina echo,38.8118097268,-120.1234594719,2016-06-05,iNat
Colias eurytheme,33.338191,-116.909806,2016-06-04,iNat
Colias eurytheme,38.122353,-122.473982,2016-06-06,iNat
Celastrina echo,37.482337,-121.531909,2016-06-05,iNat
Vanessa cardui,36.356942,-120.824203,2016-05-28,iNat
Colias eurytheme,34.04736,-116.567151,2016-06-08,iNat
Celastrina echo,36.468092,-121.902044,2016-06-09,iNat
Vanessa cardui,37.3852583333,-122.1738366667,2016-06-11,iNat
Celastrina echo,36.4821966667,-121.9266966667,2016-06-11,iNat
Vanessa cardui,36.492848,-121.933642,2016-06-11,iNat
Celastrina echo,37.897817,-122.710494,2016-06-11,iNat
Celastrina echo,30.645592,-104.179412,2016-06-05,iNat
Polygonia gracilis,39.482857882,-119.9040367024,2016-06-12,iNat
Vanessa cardui,35.9461,-100.0487,2016-06-13,iNat
Colias eurytheme,34.030532,-116.135305,2014-10-17,iNat
Aglais milberti,42.7234431717,-112.4249823019,2014-03-23,iNat
Aglais milberti,43.4600965802,-113.5530818794,2016-06-14,iNat
Vanessa cardui,37.8650983982,-122.220705282,2016-06-17,iNat
Vanessa cardui,37.885702,-122.224027,2016-06-18,iNat
Polygonia gracilis,40.6024696664,-111.5906047868,2016-06-17,iNat
Celastrina echo,37.7619285509,-122.4241974951,2016-06-17,iNat
Celastrina echo,37.094565,-121.843675,2016-06-19,iNat
Celastrina echo,38.727731,-120.491939,2016-06-11,iNat
Libytheana carinenta,30.604,-103.935,2016-06-02,iNat
Erebia epipsodea,40.802635,-106.962461,2016-06-20,iNat
Celastrina echo,37.9270733333,-122.67204,2016-06-21,iNat
Celastrina echo,37.9301166667,-122.6823466667,2016-06-21,iNat
Boloria epithore,46.99877,-123.59202,2016-06-19,iNat
Colias eurytheme,38.482284,-122.572274,2016-06-22,iNat
Celastrina echo,37.4565611,-122.3815924,2016-06-20,iNat
Vanessa cardui,41.816061,-123.127865,2016-06-20,iNat
Polygonia gracilis,37.6793320198,-119.623015076,2016-06-21,iNat
Celastrina echo,37.6793320198,-119.623015076,2016-06-21,iNat
Boloria epithore,37.6793320198,-119.623015076,2016-06-21,iNat
Colias eurytheme,37.6793320198,-119.623015076,2016-06-21,iNat
Colias eurytheme,35.6677041154,-118.2898807526,2016-06-21,iNat
Celastrina echo,45.9090635452,-122.5909137843,2016-06-25,iNat
Celastrina echo,36.2768027778,-121.5553194444,2016-06-25,iNat
Celastrina echo,36.276955,-121.5549983333,2016-06-25,iNat
Vanessa cardui,38.043527,-122.875772,2016-06-21,iNat
Aglais milberti,43.6866216667,-110.9637216667,2016-06-24,iNat
Celastrina echo,46.023216,-123.454327,2016-06-26,iNat
Celastrina echo,47.424414,-122.172196,2016-06-20,iNat
Celastrina echo,47.424414,-122.172196,2016-06-20,iNat
Erebia epipsodea,38.5182370199,-109.2745812983,2016-06-27,iNat
Aglais milberti,44.8957283333,-110.2349033333,2016-05-29,iNat
Vanessa cardui,35.0660555,-109.7805416667,2016-06-28,iNat
Celastrina echo,36.575412,-118.7876,2016-06-28,iNat
Colias eurytheme,38.935272,-120.055327,2016-06-05,iNat
Celastrina echo,46.118195,-123.875841,2016-07-01,iNat
Vanessa cardui,38.0801383333,-122.9508433333,2016-07-01,iNat
Celastrina echo,38.13261,-122.8933983333,2016-07-01,iNat
Colias eurytheme,34.0921829827,-117.5352984109,2016-06-30,iNat
Celastrina echo,38.1324975,-122.8932005,2016-07-01,iNat
Eurema mexicana,29.2518587909,-103.3141093547,2016-06-26,iNat
Libytheana carinenta,29.3621877483,-103.3444115778,2016-06-26,iNat
Celastrina echo,37.6093088008,-122.451747972,2016-07-02,iNat
Eurema mexicana,31.73028,-110.9491,2016-05-07,iNat
Eurema mexicana,31.726994,-110.946898,2016-05-07,iNat
Celastrina echo,38.7446527778,-123.496375,2016-06-19,iNat
Aglais milberti,33.9337468264,-109.547252655,2016-06-25,iNat
Vanessa cardui,31.958766454,-111.5971201658,2012-08-27,iNat
Colias eurytheme,33.07063,-116.602644,2016-07-03,iNat
Celastrina echo,41.256415,-121.883214,2016-07-02,iNat
Libytheana carinenta,31.9824368919,-101.9101905869,2016-07-02,iNat
Colias eurytheme,40.7740707502,-111.819915845,2016-07-04,iNat
Aglais milberti,38.4466558183,-109.230610421,2016-07-04,iNat
Celastrina echo,37.865101,-119.538329,2016-06-25,iNat
Celastrina echo,46.0321566357,-123.8050918112,2016-07-05,iNat
Celastrina echo,47.0027033232,-123.0090966223,2016-07-02,iNat
Libytheana carinenta,31.899386,-104.83452,2016-07-01,iNat
Vanessa cardui,38.4556135341,-122.8394544125,2016-07-05,iNat
Colias eurytheme,38.2546373,-121.2999485,2016-07-06,iNat
Celastrina echo,46.614331,-124.048938,2016-07-08,iNat
Colias eurytheme,39.683634256,-121.7767202854,2016-07-02,iNat
Colias eurytheme,37.67343,-106.651302,2016-07-03,iNat
Polygonia gracilis,32.554419,-117.08632,2016-07-10,iNat
Colias eurytheme,39.7556693713,-120.3646499758,2016-07-08,iNat
Aglais milberti,38.407647782,-109.2932218966,2016-07-12,iNat
Colias eurytheme,36.356043,-120.827851,2016-03-20,iNat
Celastrina echo,37.8646393,-119.5379448,2014-06-08,iNat
Ochlodes sylvanoides,38.5437715659,-109.282193659,2016-07-13,iNat
Polygonia gracilis,38.5387119139,-109.2598314957,2016-07-13,iNat
Plebejus anna,39.5978184694,-120.6116437912,2016-07-09,iNat
Ochlodes sylvanoides,47.702902,-122.3220764,2014-08-02,iNat
Aglais milberti,38.9588808,-104.9072021,2016-07-13,iNat
Celastrina echo,46.321853,-124.034824,2016-07-14,iNat
Boloria epithore,42.438704,-122.244242,2016-07-11,iNat
Celastrina echo,46.046858,-123.908564,2016-07-14,iNat
Celastrina echo,47.702902,-122.3220764,2016-07-14,iNat
Aglais milberti,41.837552,-121.453983,2016-06-30,iNat
Aglais milberti,47.702902,-122.3220764,2014-07-14,iNat
Ochlodes sylvanoides,37.8158101,-122.0407758,2016-07-16,iNat
Ochlodes sylvanoides,37.8158101,-122.0407758,2016-07-16,iNat
Colias eurytheme,37.673245,-106.651059,2016-07-11,iNat
Ochlodes sylvanoides,36.8025499446,-121.6732406616,2016-07-17,iNat
Speyeria cybele,38.5455753096,-109.2995827553,2016-07-17,iNat
Celastrina echo,36.4514830118,-118.6134624481,2016-07-08,iNat
Lycaena heteronea,40.760545,-106.79683,2016-07-16,iNat
Boloria epithore,38.850403,-120.096445,2016-07-17,iNat
Ochlodes sylvanoides,36.8999023296,-121.8283320479,2016-07-19,iNat
Celastrina echo,32.64933,-109.82367,2016-07-16,iNat
Ochlodes sylvanoides,37.5165783333,-121.83186,2016-07-20,iNat
Libytheana carinenta,31.9664292651,-102.1195924285,2016-06-24,iNat
Erebia epipsodea,40.480361,-105.822003,2016-07-15,iNat
Colias eurytheme,39.2013707731,-120.3724201007,2016-07-20,iNat
Plebejus anna,39.327791588,-120.2334255766,2016-07-20,iNat
Lycaena mariposa,39.5342780518,-120.3618259202,2016-07-20,iNat
Lycaena mariposa,39.537214046,-120.2893796089,2016-07-20,iNat
Ochlodes sylvanoides,38.346853,-122.647038,2016-07-22,iNat
Speyeria cybele,40.573202,-111.68404,2008-08-06,iNat
Speyeria cybele,40.825111,-111.787519,2011-08-06,iNat
Colias eurytheme,39.3403134642,-120.340391993,2016-07-20,iNat
Lycaena mariposa,39.4312376585,-120.241611599,2016-07-20,iNat
Colias eurytheme,38.44587016,-121.86464422,2016-07-22,iNat
Lycaena mariposa,39.3145377868,-120.2220487627,2016-07-20,iNat
Lycaena mariposa,39.4703429407,-120.2017950064,2016-07-20,iNat
Ochlodes sylvanoides,38.3066216667,-123.0158466667,2016-07-23,iNat
Lycaena mariposa,39.5214769553,-120.3482356549,2016-07-20,iNat
Lycaena heteronea,38.1587945,-119.1342695,2016-07-23,iNat
Plebejus anna,46.7963978461,-121.7342303733,2016-07-20,iNat
Ochlodes sylvanoides,37.510134,-121.828423,2016-07-22,iNat
Ochlodes sylvanoides,37.510134,-121.828423,2016-07-22,iNat
Celastrina echo,37.827091,-122.178365,2016-07-09,iNat
Colias eurytheme,38.010531,-121.7282537,2016-07-23,iNat
Colias eurytheme,38.12273,-121.683283,2016-07-19,iNat
Polygonia gracilis,39.4138716667,-120.31186,2016-07-21,iNat
Lycaena heteronea,37.674129,-106.653757,2016-07-24,iNat
Polygonia gracilis,46.7370037052,-121.566791101,2016-07-06,iNat
Vanessa cardui,37.9692091777,-119.2657817491,2016-07-25,iNat
Aglais milberti,37.972862937,-119.2681850084,2016-07-25,iNat
Ochlodes sylvanoides,36.4819216667,-121.179955,2016-07-20,iNat
Colias eurytheme,40.011802,-105.269528,2016-07-16,iNat
Lycaena heteronea,37.878425,-119.1291805,2016-07-26,iNat
Colias eurytheme,40.1608533333,-105.1296383333,2016-07-18,iNat
Ochlodes sylvanoides,48.865833,-123.325889,2016-07-24,iNat
Aglais milberti,46.825254,-113.339414,2016-07-04,iNat
Lycaena heteronea,37.4594416667,-118.1944666667,2016-07-26,iNat
Lycaena heteronea,37.4580633333,-118.1935716667,2016-07-26,iNat
Lycaena heteronea,37.453605,-118.19745,2016-07-26,iNat
Vanessa cardui,37.463995,-118.193475,2016-07-26,iNat
Colias eurytheme,38.2546373,-121.2999485,2016-07-26,iNat
Colias eurytheme,40.1605133333,-105.128245,2016-07-18,iNat
Colias eurytheme,40.1608533333,-105.1296383333,2016-07-18,iNat
Colias eurytheme,40.160491,-105.128253,2016-07-18,iNat
Colias eurytheme,36.7256695,-114.7271668889,2016-06-29,iNat
Colias eurytheme,36.7255392317,-114.7167491913,2016-07-07,iNat
Lycaena heteronea,40.8040320471,-106.9619035721,2016-07-25,iNat
Aglais milberti,37.5579633333,-118.2361966667,2016-07-27,iNat
Polygonia gracilis,37.5271986,-118.1977588,2016-07-27,iNat
Erebia epipsodea,47.69946,-113.269624,2016-07-08,iNat
Colias eurytheme,38.021174,-121.8320633,2016-07-25,iNat
Erebia epipsodea,39.0418971667,-107.0174638333,2016-07-27,iNat
Colias eurytheme,38.5861491854,-102.3764848709,2016-07-03,iNat
Ochlodes sylvanoides,46.354481,-123.734379,2016-07-27,iNat
Colias eurytheme,37.4205576543,-122.081446051,2016-07-28,iNat
Aglais milberti,39.984469,-106.509669,2016-07-15,iNat
Ochlodes sylvanoides,46.742802478,-116.985671371,2016-07-29,iNat
Ochlodes sylvanoides,46.742803397,-116.9856780767,2016-07-29,iNat
Ochlodes sylvanoides,46.7428879472,-116.985927522,2016-07-29,iNat
Polygonia gracilis,39.0681945,-106.8206116667,2016-07-29,iNat
Erebia epipsodea,39.0681333333,-106.8206716667,2016-07-29,iNat
Vanessa cardui,40.56528,-111.803044,2008-04-21,iNat
Ochlodes sylvanoides,37.8959118348,-121.8785476685,2016-07-29,iNat
Ochlodes sylvanoides,46.7427988019,-116.9856727123,2016-07-30,iNat
Colias eurytheme,38.4441779875,-121.8630981445,2016-07-22,iNat
Colias eurytheme,38.4441779875,-121.8630981445,2016-07-22,iNat
Colias eurytheme,38.4456888889,-121.86435,2016-07-22,iNat
Colias eurytheme,38.436379603,-121.8493652344,2016-07-22,iNat
Colias eurytheme,38.44552,-121.86421,2016-07-22,iNat
Colias eurytheme,38.4455166667,-121.8642083333,2016-07-22,iNat
Vanessa cardui,40.8549995422,-124.0977783203,2016-07-25,iNat
Ochlodes sylvanoides,37.8831645318,-121.9741630554,2016-07-29,iNat
Ochlodes sylvanoides,38.4019287393,-122.675794064,2016-07-30,iNat
Ochlodes sylvanoides,44.17955,-124.112922,2016-07-28,iNat
Colias eurytheme,46.7428052351,-116.98567003,2016-07-31,iNat
Celastrina echo,39.0042499722,-114.3042416667,2016-07-21,iNat
Colias eurytheme,39.0084194167,-114.3178722222,2016-07-22,iNat
Ochlodes sylvanoides,34.3991310753,-118.7236500846,2016-07-31,iNat
Aglais milberti,39.0034638889,-114.3115749722,2016-07-21,iNat
Colias eurytheme,37.672254,-106.651223,2016-07-28,iNat
Colias eurytheme,32.7149972222,-116.7620305556,2016-07-30,iNat
Vanessa cardui,37.7543619416,-119.7957801819,2016-07-31,iNat
Colias eurytheme,37.7660517397,-122.4742890894,2016-07-27,iNat
Ochlodes sylvanoides,46.7291173828,-116.9778192043,2016-08-01,iNat
Vanessa cardui,38.4136519204,-122.8115272522,2016-08-01,iNat
Colias eurytheme,39.4219466667,-122.18672,2016-08-02,iNat
Colias eurytheme,36.5828086488,-121.1345251005,2016-07-30,iNat
Celastrina echo,34.0289666859,-116.2803375721,2009-04-26,iNat
Aglais milberti,37.953961762,-119.2575077192,2016-07-26,iNat
Ochlodes sylvanoides,41.3357466667,-122.3582566667,2016-08-03,iNat
Polygonia gracilis,37.753335,-119.7973766667,2016-07-28,iNat
Celastrina echo,37.9450566667,-119.21102,2016-07-31,iNat
Colias eurytheme,37.984665,-119.286645,2016-07-29,iNat
Colias eurytheme,37.7657,-119.7738833333,2016-07-28,iNat
Colias eurytheme,37.7660016667,-119.7732066667,2016-08-02,iNat
Ochlodes sylvanoides,41.3354466667,-122.3582366667,2016-08-03,iNat
Ochlodes sylvanoides,38.0252666667,-119.2512883333,2016-07-31,iNat
Colias eurytheme,36.4711318402,-118.0279254913,2016-07-28,iNat
Colias eurytheme,37.7705790455,-119.7608470917,2016-07-27,iNat
Ochlodes sylvanoides,41.2699066667,-122.325885,2016-08-03,iNat
Ochlodes sylvanoides,41.2623716667,-122.3313783333,2016-08-03,iNat
Boloria epithore,45.2248734417,-123.7420992849,2016-08-04,iNat
Ochlodes sylvanoides,47.3484625237,-116.6857481003,2016-08-04,iNat
Colias eurytheme,40.161038,-105.130095,2016-07-18,iNat
Ochlodes sylvanoides,47.6584933,-122.2906345,2016-08-04,iNat
Speyeria cybele,36.3666316667,-105.38558,2016-07-27,iNat
Aglais milberti,36.39094,-105.2648216667,2016-07-29,iNat
Vanessa cardui,36.38926,-105.2696933333,2016-07-29,iNat
Aglais milberti,40.3972533333,-111.648225,2016-08-04,iNat
Ochlodes sylvanoides,46.7456173772,-116.98974967,2016-08-05,iNat
Ochlodes sylvanoides,36.49923,-121.1402805,2016-07-28,iNat
Ochlodes sylvanoides,37.857942476,-121.9448341524,2016-08-05,iNat
Aglais milberti,39.003354,-114.311664,2016-07-22,iNat
Vanessa cardui,40.1706486382,-104.9877333642,2016-08-06,iNat
Vanessa cardui,39.00336,-114.311661,2016-07-22,iNat
Ochlodes sylvanoides,37.884722,-121.9956507,2016-08-05,iNat
Ochlodes sylvanoides,46.7292791719,-116.9794070721,2016-08-07,iNat
Lycaena heteronea,43.6162226926,-110.464836359,2012-07-17,iNat
Ochlodes sylvanoides,33.7358321925,-117.6877999306,2016-08-07,iNat
Ochlodes sylvanoides,33.7358321925,-117.6877999306,2016-08-07,iNat
Ochlodes sylvanoides,33.73561806,-117.6844310761,2016-08-07,iNat
Ochlodes sylvanoides,33.7562615396,-117.6994514465,2016-08-07,iNat
Ochlodes sylvanoides,36.4722769478,-121.1894876751,2016-08-06,iNat
Ochlodes sylvanoides,48.5980188987,-122.9448578508,2016-08-08,iNat
Erebia epipsodea,39.1972033333,-106.1410195,2016-07-10,iNat
Ochlodes sylvanoides,37.745175,-122.37535,2016-08-08,iNat
Ochlodes sylvanoides,37.74478,-122.3748783333,2016-08-08,iNat
Vanessa cardui,37.7452679512,-122.3741984367,2016-08-08,iNat
Vanessa cardui,37.655242,-122.376472,2016-08-08,iNat
Ochlodes sylvanoides,36.4655492347,-121.1547455115,2016-08-07,iNat
Ochlodes sylvanoides,37.9432088,-122.1405413,2016-08-06,iNat
Ochlodes sylvanoides,47.0051767071,-122.8563307747,2016-08-03,iNat
Colias eurytheme,38.9484839963,-120.0051943916,2016-08-03,iNat
Colias eurytheme,38.5661583301,-109.29362188100001,2016-08-09,iNat
Vanessa cardui,39.1108299137,-119.846240563,2016-08-04,iNat
Ochlodes sylvanoides,37.0876642966,-122.0590567584,2016-08-09,iNat
Vanessa cardui,32.2342958328,-110.8838036445,2012-10-09,iNat
Ochlodes sylvanoides,42.765753,-106.333236,2016-08-01,iNat
Colias eurytheme,32.907933,-109.486173,2016-07-28,iNat
Colias eurytheme,38.5432835835,-121.7519691122,2016-08-11,iNat
Colias eurytheme,36.9732888889,-104.3939388889,2016-07-27,iNat
Vanessa cardui,36.9732888889,-104.3939388889,2016-07-27,iNat
Colias eurytheme,37.29544,-120.85281,2016-08-11,iNat
Colias eurytheme,36.782625,-103.9701138889,2016-07-26,iNat
Colias eurytheme,37.29497,-120.854,2016-08-11,iNat
Colias eurytheme,37.29427,-120.85432,2016-08-11,iNat
Celastrina echo,36.2999274915,-115.6903927226,2016-08-09,iNat
Colias eurytheme,36.1581928502,-115.4273896946,2016-08-07,iNat
Colias eurytheme,36.1579047402,-115.4272770882,2016-08-05,iNat
Colias eurytheme,36.1576297983,-115.4263060844,2016-08-05,iNat
Ochlodes sylvanoides,46.751123,-123.028878,2016-08-05,iNat
Ochlodes sylvanoides,46.7217284,-122.98177,2016-08-05,iNat
Ochlodes sylvanoides,37.0418616667,-122.0703883333,2016-08-11,iNat
Ochlodes sylvanoides,47.8868,-122.200395,2016-08-12,iNat
Aglais milberti,40.4409533333,-105.75447,2016-08-12,iNat
Ochlodes sylvanoides,48.5242629006,-123.5085690022,2016-08-12,iNat
Lycaena heteronea,43.6911493483,-110.6728363037,2007-07-13,iNat
Ochlodes sylvanoides,33.0665946135,-117.1078956127,2016-08-13,iNat
Ochlodes sylvanoides,37.8920084295,-122.2397775648,2016-08-13,iNat
Colias eurytheme,33.0678533671,-117.1056640148,2016-08-13,iNat
Ochlodes sylvanoides,37.1188385,-122.306642,2016-08-13,iNat
Ochlodes sylvanoides,48.5506293895,-123.0246723158,2016-08-08,iNat
Ochlodes sylvanoides,37.1189583333,-122.30701,2016-08-13,iNat
Colias eurytheme,33.03797,-116.65124,2016-08-13,iNat
Lycaena heteronea,44.781758,-110.446908,2016-08-03,iNat
Colias eurytheme,35.7933509297,-105.8147107404,2016-08-07,iNat
Vanessa cardui,35.7935622471,-105.8110255859,2016-08-07,iNat
Ochlodes sylvanoides,46.7394562052,-116.9699656963,2016-08-14,iNat
Aglais milberti,41.2066416667,-111.8355866667,2004-07-09,iNat
Vanessa cardui,40.9305883333,-111.9539583333,2004-06-11,iNat
Ochlodes sylvanoides,37.5872641987,-122.5070688129,2016-08-14,iNat
Celastrina echo,48.5244174494,-123.5088157654,2016-05-26,iNat
Ochlodes sylvanoides,48.7480681397,-123.2677388191,2016-08-10,iNat
Ochlodes sylvanoides,48.7465683689,-123.2051253319,2016-08-10,iNat
Ochlodes sylvanoides,38.5438240786,-109.2809186877,2016-08-15,iNat
Polygonia gracilis,42.9063616667,-122.0731383333,2016-08-15,iNat
Plebejus anna,42.906905,-122.073315,2016-08-15,iNat
Lycaena heteronea,46.9398364,-121.2645311,2016-08-14,iNat
Vanessa cardui,42.9806116667,-122.113095,2016-08-15,iNat
Colias eurytheme,36.3918833333,-105.2624633333,2016-07-28,iNat
Colias eurytheme,42.9101277778,-122.1419416667,2016-08-15,iNat
Ochlodes sylvanoides,33.347379,-118.327002,2012-07-17,iNat
Colias eurytheme,38.123213,-121.690084,2011-09-09,iNat
Ochlodes sylvanoides,48.87075,-123.315125,2016-08-16,iNat
Colias eurytheme,34.6371008634,-119.3108904362,2016-08-06,iNat
Ochlodes sylvanoides,43.2422439761,-123.350468874,2016-08-17,iNat
Ochlodes sylvanoides,36.4839258604,-121.1666633283,2016-08-17,iNat
Ochlodes sylvanoides,36.4878743554,-121.1524516819,2016-08-16,iNat
Ochlodes sylvanoides,48.7960944772,-122.4627142982,2016-08-16,iNat
Ochlodes sylvanoides,38.203829,-122.520975,2016-08-18,iNat
Ochlodes sylvanoides,47.645688238,-122.2902013734,2016-08-18,iNat
Plebejus anna,43.579291,-122.657444,2016-08-18,iNat
Ochlodes sylvanoides,43.585756,-122.617108,2016-08-18,iNat
Ochlodes sylvanoides,36.4720932436,-121.190507412,2016-08-06,iNat
Colias eurytheme,44.171843,-124.103662,2016-08-17,iNat
Ochlodes sylvanoides,44.179417,-124.112772,2016-08-17,iNat
Ochlodes sylvanoides,48.456405,-123.2984783333,2016-08-13,iNat
Vanessa cardui,37.6656669611,-122.391047571,2016-08-20,iNat
Eurema mexicana,31.5704268,-111.049712,2016-08-20,iNat
Ochlodes sylvanoides,37.8737105901,-121.960875146,2016-08-16,iNat
Ochlodes sylvanoides,37.3474716667,-122.2024383333,2016-08-20,iNat
Colias eurytheme,38.0373306,-121.374175,2016-08-20,iNat
Vanessa cardui,37.1694,-104.5022133333,2016-08-20,iNat
Ochlodes sylvanoides,46.2276281099,-124.0084876993,2016-08-21,iNat
Ochlodes sylvanoides,37.8206780469,-122.0476369851,2016-08-21,iNat
Ochlodes sylvanoides,37.8206780469,-122.0476369851,2016-08-21,iNat
Vanessa cardui,37.8403497601,-122.1978225972,2016-08-22,iNat
Libytheana carinenta,32.2406795493,-110.9364045855,2016-08-23,iNat
Celastrina echo,44.0404655109,-121.8244099617,2016-08-21,iNat
Celastrina echo,31.7237868312,-110.8808898926,2010-02-13,iNat
Ochlodes sylvanoides,40.8677864075,-124.0751953125,2016-08-23,iNat
Libytheana carinenta,32.3746307334,-110.9683150706,2016-08-24,iNat
Ochlodes sylvanoides,46.9483060774,-123.6571805478,2016-08-22,iNat
Colias eurytheme,39.94037122,-105.8482933044,2016-08-21,iNat
Ochlodes sylvanoides,37.4034888624,-122.2658719964,2016-08-24,iNat
Ochlodes sylvanoides,37.4034888624,-122.2658719964,2016-08-24,iNat
Libytheana carinenta,29.018874,-110.954704,2016-08-11,iNat
Vanessa cardui,37.6990342079,-123.0029296875,2009-09-09,iNat
Erebia epipsodea,39.6541432185,-105.8788061142,2002-07-14,iNat
Erebia epipsodea,39.6541432185,-105.8788061142,2002-07-14,iNat
Celastrina echo,40.7430965563,-121.0549129008,2009-05-22,iNat
Vanessa cardui,45.2125699669,-123.7554244993,2016-08-25,iNat
Ochlodes sylvanoides,37.1658227581,-121.6472125039,2016-08-24,iNat
Ochlodes sylvanoides,37.167977,-121.740543,2016-08-24,iNat
Boloria epithore,46.9176831388,-121.6880571842,2016-08-04,iNat
Ochlodes sylvanoides,37.163395,-121.738043,2016-08-24,iNat
Speyeria cybele,46.0219989892,-116.0666942596,2014-07-14,iNat
Aglais milberti,46.0305955192,-116.0599887371,2015-03-26,iNat
Ochlodes sylvanoides,46.0194473354,-116.076427996,2015-06-29,iNat
Aglais milberti,48.5290716667,-113.994195,2016-08-26,iNat
Ochlodes sylvanoides,46.4510604072,-116.817305088,2016-08-26,iNat
Ochlodes sylvanoides,37.8891408976,-121.8926685991,2016-08-26,iNat
Polygonia gracilis,40.303953,-105.660592,2016-08-01,iNat
Speyeria cybele,35.872935,-106.590608,2016-08-27,iNat
Ochlodes sylvanoides,47.5329364792,-116.4751088619,2016-08-26,iNat
Plebejus anna,38.4504653,-119.7490659,2016-08-27,iNat
Ochlodes sylvanoides,36.480733,-121.181844,2016-08-28,iNat
Colias eurytheme,37.6846387207,-122.0907492091,2016-08-28,iNat
Ochlodes sylvanoides,34.4116894792,-119.876970649,2016-08-26,iNat
Ochlodes sylvanoides,34.487614,-119.309788,2016-08-27,iNat
Libytheana carinenta,29.2793033333,-103.3686883333,2016-08-27,iNat
Ochlodes sylvanoides,36.480283,-121.181744,2016-08-28,iNat
Colias eurytheme,40.4464810202,-121.2946595998,2016-07-23,iNat
Colias eurytheme,40.4350685142,-121.3017891628,2016-07-23,iNat
Colias eurytheme,40.4349674704,-121.3020997961,2016-07-23,iNat
Colias eurytheme,40.4332669918,-121.3040314895,2016-07-23,iNat
Colias eurytheme,45.460328,-122.5895701,2016-08-27,iNat
Libytheana carinenta,29.2306533333,-103.16595,2016-08-28,iNat
Ochlodes sylvanoides,48.5670340443,-121.802895963,2016-08-29,iNat
Ochlodes sylvanoides,37.8631789924,-122.5168772311,2016-08-30,iNat
Aglais milberti,41.3440702512,-106.1748790741,2016-08-01,iNat
Ochlodes sylvanoides,37.363248,-122.1756693,2016-08-30,iNat
